"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25244","Should show errors for empty fields","chromium","Wed Jun 25 18:49:04 GMT+02:00 2025","passed","Wed Jun 25 18:49:29 GMT+02:00 2025","Bank Details Form Tests > Invalid Scenarios","bankDetails.spec.ts","",""
"","10300","Should successfully submit form with low income","chromium","Wed Jun 25 18:51:47 GMT+02:00 2025","passed","Wed Jun 25 18:51:58 GMT+02:00 2025","Financial Information Form > Valid Scenarios","financialInfo.spec.ts","",""
"","26019","Should show error with special characters","firefox","Wed Jun 25 19:12:01 GMT+02:00 2025","passed","Wed Jun 25 19:12:27 GMT+02:00 2025","Personal Details Form > Invalid Scenarios","personalDetails.spec.ts","",""
"","24803","Should successfully submit short address","chromium","Wed Jun 25 18:43:39 GMT+02:00 2025","passed","Wed Jun 25 18:44:04 GMT+02:00 2025","Address Details Form Tests > Valid Scenarios","addressDetails.spec.ts","",""
"","23555","Should show error with special characters","chromium","Wed Jun 25 18:56:09 GMT+02:00 2025","passed","Wed Jun 25 18:56:33 GMT+02:00 2025","Personal Details Form > Invalid Scenarios","personalDetails.spec.ts","",""
"","25000","Should show error for invalid account holder name","chromium","Wed Jun 25 18:48:39 GMT+02:00 2025","passed","Wed Jun 25 18:49:04 GMT+02:00 2025","Bank Details Form Tests > Invalid Scenarios","bankDetails.spec.ts","",""
"","29449","Should handle maximum length account number","firefox","Wed Jun 25 19:04:27 GMT+02:00 2025","passed","Wed Jun 25 19:04:57 GMT+02:00 2025","Bank Details Form Tests > Edge Cases","bankDetails.spec.ts","",""
"","24411","Should show error with special characters","chromium","Wed Jun 25 18:45:16 GMT+02:00 2025","passed","Wed Jun 25 18:45:40 GMT+02:00 2025","Address Details Form Tests > Invalid Scenarios","addressDetails.spec.ts","",""
"","2406","Verify error message with invalid credentials","chromium","Wed Jun 25 18:53:32 GMT+02:00 2025","passed","Wed Jun 25 18:53:35 GMT+02:00 2025","Login Functionality","login.spec.ts","",""
"","14701","Validate Next Steps Screen","chromium","Wed Jun 25 18:53:35 GMT+02:00 2025","passed","Wed Jun 25 18:53:49 GMT+02:00 2025","Next Steps Form Tests","nextSteps.spec.ts","",""
"","1","Should successfully upload documents","firefox","Wed Jun 25 19:06:21 GMT+02:00 2025","skipped","Wed Jun 25 19:06:21 GMT+02:00 2025","Document Upload Tests > Valid Scenarios","documentUploads.spec.ts","",""
"","27958","Should handle short account number","firefox","Wed Jun 25 19:02:30 GMT+02:00 2025","passed","Wed Jun 25 19:02:58 GMT+02:00 2025","Bank Details Form Tests > Valid Scenarios","bankDetails.spec.ts","",""
"","26674","Should handle international address","firefox","Wed Jun 25 19:01:06 GMT+02:00 2025","passed","Wed Jun 25 19:01:33 GMT+02:00 2025","Address Details Form Tests > Edge Cases","addressDetails.spec.ts","",""
"","11624","Should handle zero amounts","firefox","Wed Jun 25 19:08:12 GMT+02:00 2025","passed","Wed Jun 25 19:08:23 GMT+02:00 2025","Financial Information Form > Edge Cases","financialInfo.spec.ts","",""
"","30232","Should show error with empty fields","firefox","Wed Jun 25 19:10:33 GMT+02:00 2025","broken","Wed Jun 25 19:11:03 GMT+02:00 2025","Personal Details Form > Invalid Scenarios","personalDetails.spec.ts","",""
"","31081","Should successfully submit long address","webkit","Wed Jun 25 19:13:33 GMT+02:00 2025","broken","Wed Jun 25 19:14:04 GMT+02:00 2025","Address Details Form Tests > Valid Scenarios","addressDetails.spec.ts","",""
"","10517","Should show error with invalid amounts","chromium","Wed Jun 25 18:51:58 GMT+02:00 2025","passed","Wed Jun 25 18:52:08 GMT+02:00 2025","Financial Information Form > Invalid Scenarios","financialInfo.spec.ts","",""
"","24787","Should successfully submit standard bank details","chromium","Wed Jun 25 18:46:55 GMT+02:00 2025","passed","Wed Jun 25 18:47:20 GMT+02:00 2025","Bank Details Form Tests > Valid Scenarios","bankDetails.spec.ts","",""
"","10807","Should show error with special characters","chromium","Wed Jun 25 18:52:19 GMT+02:00 2025","failed","Wed Jun 25 18:52:29 GMT+02:00 2025","Financial Information Form > Invalid Scenarios","financialInfo.spec.ts","",""
"","25594","Should handle maximum length address","chromium","Wed Jun 25 18:45:40 GMT+02:00 2025","passed","Wed Jun 25 18:46:06 GMT+02:00 2025","Address Details Form Tests > Edge Cases","addressDetails.spec.ts","",""
"","25749","Should handle minimum length address","firefox","Wed Jun 25 19:00:41 GMT+02:00 2025","passed","Wed Jun 25 19:01:06 GMT+02:00 2025","Address Details Form Tests > Edge Cases","addressDetails.spec.ts","",""
"","1","Match retry snapshot","firefox","Wed Jun 25 19:06:21 GMT+02:00 2025","skipped","Wed Jun 25 19:06:21 GMT+02:00 2025","Document Upload Tests","documentUploads.spec.ts","",""
"","24210","Should successfully submit long address","chromium","Wed Jun 25 18:43:15 GMT+02:00 2025","passed","Wed Jun 25 18:43:40 GMT+02:00 2025","Address Details Form Tests > Valid Scenarios","addressDetails.spec.ts","",""
"","25854","Should successfully submit standard address details","chromium","Wed Jun 25 18:42:25 GMT+02:00 2025","passed","Wed Jun 25 18:42:51 GMT+02:00 2025","Address Details Form Tests > Valid Scenarios","addressDetails.spec.ts","",""
"","25094","Should handle special characters in account holder name","chromium","Wed Jun 25 18:50:21 GMT+02:00 2025","passed","Wed Jun 25 18:50:46 GMT+02:00 2025","Bank Details Form Tests > Edge Cases","bankDetails.spec.ts","",""
"","10455","Should handle minimum amounts","chromium","Wed Jun 25 18:52:42 GMT+02:00 2025","passed","Wed Jun 25 18:52:52 GMT+02:00 2025","Financial Information Form > Edge Cases","financialInfo.spec.ts","",""
"","25187","Should successfully submit form with short names","firefox","Wed Jun 25 19:10:07 GMT+02:00 2025","passed","Wed Jun 25 19:10:33 GMT+02:00 2025","Personal Details Form > Valid Scenarios","personalDetails.spec.ts","",""
"","27385","Should show error with invalid email","firefox","Wed Jun 25 19:11:05 GMT+02:00 2025","passed","Wed Jun 25 19:11:32 GMT+02:00 2025","Personal Details Form > Invalid Scenarios","personalDetails.spec.ts","",""
"","3002","Verify error message with invalid credentials","firefox","Wed Jun 25 19:08:56 GMT+02:00 2025","passed","Wed Jun 25 19:08:59 GMT+02:00 2025","Login Functionality","login.spec.ts","",""
"","18733","Should successfully submit form with standard income","firefox","Wed Jun 25 19:06:21 GMT+02:00 2025","passed","Wed Jun 25 19:06:40 GMT+02:00 2025","Financial Information Form > Valid Scenarios","financialInfo.spec.ts","",""
"","30253","Should successfully submit short address","webkit","Wed Jun 25 19:14:06 GMT+02:00 2025","broken","Wed Jun 25 19:14:36 GMT+02:00 2025","Address Details Form Tests > Valid Scenarios","addressDetails.spec.ts","",""
"","11697","Should require terms and conditions to be checked","firefox","Wed Jun 25 19:08:35 GMT+02:00 2025","passed","Wed Jun 25 19:08:47 GMT+02:00 2025","Financial Information Form > Form Field Validation","financialInfo.spec.ts","",""
"","22509","Should handle maximum length address","webkit","Wed Jun 25 19:16:45 GMT+02:00 2025","failed","Wed Jun 25 19:17:07 GMT+02:00 2025","Address Details Form Tests > Edge Cases","addressDetails.spec.ts","",""
"","9263","User can open the user menu","firefox","Wed Jun 25 19:06:01 GMT+02:00 2025","passed","Wed Jun 25 19:06:10 GMT+02:00 2025","Dashboard Tests","dashboard.spec.ts","",""
"","24253","Should show error with invalid postal code","chromium","Wed Jun 25 18:44:27 GMT+02:00 2025","passed","Wed Jun 25 18:44:51 GMT+02:00 2025","Address Details Form Tests > Invalid Scenarios","addressDetails.spec.ts","",""
"","24734","Should show error with invalid city","chromium","Wed Jun 25 18:44:51 GMT+02:00 2025","passed","Wed Jun 25 18:45:16 GMT+02:00 2025","Address Details Form Tests > Invalid Scenarios","addressDetails.spec.ts","",""
"","28871","Should successfully submit address with line 2","firefox","Wed Jun 25 18:57:07 GMT+02:00 2025","passed","Wed Jun 25 18:57:36 GMT+02:00 2025","Address Details Form Tests > Valid Scenarios","addressDetails.spec.ts","",""
"","0","Match help and support snapshot","chromium","Wed Jun 25 18:51:13 GMT+02:00 2025","skipped","Wed Jun 25 18:51:13 GMT+02:00 2025","Document Upload Tests","documentUploads.spec.ts","",""
"","10559","Should clear all fields when reset","chromium","Wed Jun 25 18:53:03 GMT+02:00 2025","passed","Wed Jun 25 18:53:13 GMT+02:00 2025","Financial Information Form > Form Field Validation","financialInfo.spec.ts","",""
"","27726","Should show error for invalid account number","firefox","Wed Jun 25 19:02:58 GMT+02:00 2025","passed","Wed Jun 25 19:03:26 GMT+02:00 2025","Bank Details Form Tests > Invalid Scenarios","bankDetails.spec.ts","",""
"","30705","Should show error with special characters","webkit","Wed Jun 25 19:16:13 GMT+02:00 2025","broken","Wed Jun 25 19:16:43 GMT+02:00 2025","Address Details Form Tests > Invalid Scenarios","addressDetails.spec.ts","",""
"","26537","Should successfully submit short address","firefox","Wed Jun 25 18:58:03 GMT+02:00 2025","passed","Wed Jun 25 18:58:30 GMT+02:00 2025","Address Details Form Tests > Valid Scenarios","addressDetails.spec.ts","",""
"","8684","User can click create account button","firefox","Wed Jun 25 19:05:52 GMT+02:00 2025","passed","Wed Jun 25 19:06:01 GMT+02:00 2025","Dashboard Tests","dashboard.spec.ts","",""
"","23242","Should successfully submit form with long names","chromium","Wed Jun 25 18:54:13 GMT+02:00 2025","passed","Wed Jun 25 18:54:36 GMT+02:00 2025","Personal Details Form > Valid Scenarios","personalDetails.spec.ts","",""
"","23547","Should successfully submit form with standard details","chromium","Wed Jun 25 18:53:49 GMT+02:00 2025","passed","Wed Jun 25 18:54:13 GMT+02:00 2025","Personal Details Form > Valid Scenarios","personalDetails.spec.ts","",""
"","25833","Should show error with invalid postal code","firefox","Wed Jun 25 18:58:54 GMT+02:00 2025","passed","Wed Jun 25 18:59:20 GMT+02:00 2025","Address Details Form Tests > Invalid Scenarios","addressDetails.spec.ts","",""
"","1","Should successfully upload documents","chromium","Wed Jun 25 18:51:13 GMT+02:00 2025","skipped","Wed Jun 25 18:51:13 GMT+02:00 2025","Document Upload Tests > Valid Scenarios","documentUploads.spec.ts","",""
"","0","Match retry snapshot","chromium","Wed Jun 25 18:51:13 GMT+02:00 2025","skipped","Wed Jun 25 18:51:13 GMT+02:00 2025","Document Upload Tests","documentUploads.spec.ts","",""
"","12778","Should show error with special characters","firefox","Wed Jun 25 19:07:34 GMT+02:00 2025","passed","Wed Jun 25 19:07:47 GMT+02:00 2025","Financial Information Form > Invalid Scenarios","financialInfo.spec.ts","",""
"","29454","Should show error for invalid account holder name","firefox","Wed Jun 25 19:03:26 GMT+02:00 2025","passed","Wed Jun 25 19:03:56 GMT+02:00 2025","Bank Details Form Tests > Invalid Scenarios","bankDetails.spec.ts","",""
"","10981","Should handle maximum amounts","chromium","Wed Jun 25 18:52:31 GMT+02:00 2025","passed","Wed Jun 25 18:52:42 GMT+02:00 2025","Financial Information Form > Edge Cases","financialInfo.spec.ts","",""
"","25362","Should show error for invalid account number","chromium","Wed Jun 25 18:48:13 GMT+02:00 2025","passed","Wed Jun 25 18:48:39 GMT+02:00 2025","Bank Details Form Tests > Invalid Scenarios","bankDetails.spec.ts","",""
"","8227","User can click create account button","chromium","Wed Jun 25 18:50:46 GMT+02:00 2025","passed","Wed Jun 25 18:50:55 GMT+02:00 2025","Dashboard Tests","dashboard.spec.ts","",""
"","22630","Should show error with empty fields","chromium","Wed Jun 25 18:44:04 GMT+02:00 2025","passed","Wed Jun 25 18:44:27 GMT+02:00 2025","Address Details Form Tests > Invalid Scenarios","addressDetails.spec.ts","",""
"","26251","Should handle long account number","chromium","Wed Jun 25 18:47:20 GMT+02:00 2025","passed","Wed Jun 25 18:47:46 GMT+02:00 2025","Bank Details Form Tests > Valid Scenarios","bankDetails.spec.ts","",""
"","30537","Should show error with empty fields","webkit","Wed Jun 25 19:14:38 GMT+02:00 2025","broken","Wed Jun 25 19:15:08 GMT+02:00 2025","Address Details Form Tests > Invalid Scenarios","addressDetails.spec.ts","",""
"","10283","Should handle zero amounts","chromium","Wed Jun 25 18:52:52 GMT+02:00 2025","passed","Wed Jun 25 18:53:03 GMT+02:00 2025","Financial Information Form > Edge Cases","financialInfo.spec.ts","",""
"","1","Should successfully open uploaded documents","chromium","Wed Jun 25 18:51:13 GMT+02:00 2025","skipped","Wed Jun 25 18:51:13 GMT+02:00 2025","Document Upload Tests","documentUploads.spec.ts","",""
"","8979","Login with valid credentials","chromium","Wed Jun 25 18:53:23 GMT+02:00 2025","passed","Wed Jun 25 18:53:32 GMT+02:00 2025","Login Functionality","login.spec.ts","",""
"","26628","Should successfully submit long address","firefox","Wed Jun 25 18:57:37 GMT+02:00 2025","passed","Wed Jun 25 18:58:03 GMT+02:00 2025","Address Details Form Tests > Valid Scenarios","addressDetails.spec.ts","",""
"","18370","Should successfully submit form with high income","firefox","Wed Jun 25 19:06:40 GMT+02:00 2025","passed","Wed Jun 25 19:06:58 GMT+02:00 2025","Financial Information Form > Valid Scenarios","financialInfo.spec.ts","",""
"","30198","Should show errors for empty fields","firefox","Wed Jun 25 19:03:56 GMT+02:00 2025","broken","Wed Jun 25 19:04:26 GMT+02:00 2025","Bank Details Form Tests > Invalid Scenarios","bankDetails.spec.ts","",""
"","26491","Should handle maximum length address","firefox","Wed Jun 25 19:00:14 GMT+02:00 2025","passed","Wed Jun 25 19:00:41 GMT+02:00 2025","Address Details Form Tests > Edge Cases","addressDetails.spec.ts","",""
"","9894","Should require terms and conditions to be checked","chromium","Wed Jun 25 18:53:13 GMT+02:00 2025","passed","Wed Jun 25 18:53:23 GMT+02:00 2025","Financial Information Form > Form Field Validation","financialInfo.spec.ts","",""
"","25795","Should successfully submit form with standard details","firefox","Wed Jun 25 19:09:15 GMT+02:00 2025","passed","Wed Jun 25 19:09:41 GMT+02:00 2025","Personal Details Form > Valid Scenarios","personalDetails.spec.ts","",""
"","26801","Should show error with special characters","firefox","Wed Jun 25 18:59:47 GMT+02:00 2025","passed","Wed Jun 25 19:00:14 GMT+02:00 2025","Address Details Form Tests > Invalid Scenarios","addressDetails.spec.ts","",""
"","23112","Should successfully submit form with short names","chromium","Wed Jun 25 18:54:36 GMT+02:00 2025","passed","Wed Jun 25 18:54:59 GMT+02:00 2025","Personal Details Form > Valid Scenarios","personalDetails.spec.ts","",""
"","12245","Should handle minimum amounts","firefox","Wed Jun 25 19:07:59 GMT+02:00 2025","passed","Wed Jun 25 19:08:12 GMT+02:00 2025","Financial Information Form > Edge Cases","financialInfo.spec.ts","",""
"","23089","Should show error with invalid email","chromium","Wed Jun 25 18:55:23 GMT+02:00 2025","passed","Wed Jun 25 18:55:46 GMT+02:00 2025","Personal Details Form > Invalid Scenarios","personalDetails.spec.ts","",""
"","31077","Should successfully submit address with line 2","webkit","Wed Jun 25 19:13:01 GMT+02:00 2025","broken","Wed Jun 25 19:13:32 GMT+02:00 2025","Address Details Form Tests > Valid Scenarios","addressDetails.spec.ts","",""
"","9218","Login with valid credentials","firefox","Wed Jun 25 19:08:47 GMT+02:00 2025","passed","Wed Jun 25 19:08:56 GMT+02:00 2025","Login Functionality","login.spec.ts","",""
"","10372","Should show error with negative amounts","chromium","Wed Jun 25 18:52:08 GMT+02:00 2025","passed","Wed Jun 25 18:52:19 GMT+02:00 2025","Financial Information Form > Invalid Scenarios","financialInfo.spec.ts","",""
"","22928","Should show error with invalid mobile","chromium","Wed Jun 25 18:55:46 GMT+02:00 2025","passed","Wed Jun 25 18:56:09 GMT+02:00 2025","Personal Details Form > Invalid Scenarios","personalDetails.spec.ts","",""
"","1","Should successfully upload multiple bank statements","firefox","Wed Jun 25 19:06:21 GMT+02:00 2025","skipped","Wed Jun 25 19:06:21 GMT+02:00 2025","Document Upload Tests","documentUploads.spec.ts","",""
"","27762","Should handle long account number","firefox","Wed Jun 25 19:02:03 GMT+02:00 2025","passed","Wed Jun 25 19:02:30 GMT+02:00 2025","Bank Details Form Tests > Valid Scenarios","bankDetails.spec.ts","",""
"","30354","Should show error with invalid postal code","webkit","Wed Jun 25 19:15:09 GMT+02:00 2025","broken","Wed Jun 25 19:15:40 GMT+02:00 2025","Address Details Form Tests > Invalid Scenarios","addressDetails.spec.ts","",""
"","24294","Should show error with empty fields","firefox","Wed Jun 25 18:58:30 GMT+02:00 2025","passed","Wed Jun 25 18:58:54 GMT+02:00 2025","Address Details Form Tests > Invalid Scenarios","addressDetails.spec.ts","",""
"","23911","Should successfully submit address with line 2","chromium","Wed Jun 25 18:42:51 GMT+02:00 2025","passed","Wed Jun 25 18:43:15 GMT+02:00 2025","Address Details Form Tests > Valid Scenarios","addressDetails.spec.ts","",""
"","9401","User can sign out and is redirected to login page","chromium","Wed Jun 25 18:51:03 GMT+02:00 2025","passed","Wed Jun 25 18:51:13 GMT+02:00 2025","Dashboard Tests","dashboard.spec.ts","",""
"","0","Match help and support snapshot","firefox","Wed Jun 25 19:06:21 GMT+02:00 2025","skipped","Wed Jun 25 19:06:21 GMT+02:00 2025","Document Upload Tests","documentUploads.spec.ts","",""
"","26134","Should successfully submit form with long names","firefox","Wed Jun 25 19:09:41 GMT+02:00 2025","passed","Wed Jun 25 19:10:07 GMT+02:00 2025","Personal Details Form > Valid Scenarios","personalDetails.spec.ts","",""
"","11989","Should show error with invalid amounts","firefox","Wed Jun 25 19:07:10 GMT+02:00 2025","passed","Wed Jun 25 19:07:22 GMT+02:00 2025","Financial Information Form > Invalid Scenarios","financialInfo.spec.ts","",""
"","17469","Should successfully submit form with high income","chromium","Wed Jun 25 18:51:30 GMT+02:00 2025","passed","Wed Jun 25 18:51:47 GMT+02:00 2025","Financial Information Form > Valid Scenarios","financialInfo.spec.ts","",""
"","30392","Should successfully submit standard address details","webkit","Wed Jun 25 19:12:29 GMT+02:00 2025","broken","Wed Jun 25 19:12:59 GMT+02:00 2025","Address Details Form Tests > Valid Scenarios","addressDetails.spec.ts","",""
"","12066","Should successfully submit form with low income","firefox","Wed Jun 25 19:06:58 GMT+02:00 2025","passed","Wed Jun 25 19:07:10 GMT+02:00 2025","Financial Information Form > Valid Scenarios","financialInfo.spec.ts","",""
"","17217","Should successfully submit form with standard income","chromium","Wed Jun 25 18:51:13 GMT+02:00 2025","passed","Wed Jun 25 18:51:30 GMT+02:00 2025","Financial Information Form > Valid Scenarios","financialInfo.spec.ts","",""
"","16346","Validate Next Steps Screen","firefox","Wed Jun 25 19:08:59 GMT+02:00 2025","passed","Wed Jun 25 19:09:15 GMT+02:00 2025","Next Steps Form Tests","nextSteps.spec.ts","",""
"","30349","Should show error with invalid city","webkit","Wed Jun 25 19:15:41 GMT+02:00 2025","broken","Wed Jun 25 19:16:11 GMT+02:00 2025","Address Details Form Tests > Invalid Scenarios","addressDetails.spec.ts","",""
"","26882","Should handle short account number","chromium","Wed Jun 25 18:47:46 GMT+02:00 2025","passed","Wed Jun 25 18:48:13 GMT+02:00 2025","Bank Details Form Tests > Valid Scenarios","bankDetails.spec.ts","",""
"","12141","Should handle maximum amounts","firefox","Wed Jun 25 19:07:47 GMT+02:00 2025","passed","Wed Jun 25 19:07:59 GMT+02:00 2025","Financial Information Form > Edge Cases","financialInfo.spec.ts","",""
"","23676","Should show error with empty fields","chromium","Wed Jun 25 18:54:59 GMT+02:00 2025","passed","Wed Jun 25 18:55:23 GMT+02:00 2025","Personal Details Form > Invalid Scenarios","personalDetails.spec.ts","",""
"","27617","Should handle minimum length account number","firefox","Wed Jun 25 19:04:58 GMT+02:00 2025","passed","Wed Jun 25 19:05:25 GMT+02:00 2025","Bank Details Form Tests > Edge Cases","bankDetails.spec.ts","",""
"","0","Should successfully upload multiple bank statements","chromium","Wed Jun 25 18:51:13 GMT+02:00 2025","skipped","Wed Jun 25 18:51:13 GMT+02:00 2025","Document Upload Tests","documentUploads.spec.ts","",""
"","27522","Should show error with invalid city","firefox","Wed Jun 25 18:59:20 GMT+02:00 2025","passed","Wed Jun 25 18:59:47 GMT+02:00 2025","Address Details Form Tests > Invalid Scenarios","addressDetails.spec.ts","",""
"","27193","Should handle special characters in account holder name","firefox","Wed Jun 25 19:05:25 GMT+02:00 2025","passed","Wed Jun 25 19:05:52 GMT+02:00 2025","Bank Details Form Tests > Edge Cases","bankDetails.spec.ts","",""
"","24277","Should handle minimum length address","chromium","Wed Jun 25 18:46:06 GMT+02:00 2025","passed","Wed Jun 25 18:46:30 GMT+02:00 2025","Address Details Form Tests > Edge Cases","addressDetails.spec.ts","",""
